question_text,category,correct_answer,incorrect_answer1,incorrect_answer2,incorrect_answer3,
"Cloud Solutions is a cloud service provider that offers data centers all over the world as part of their services, so the data centers are physically close to their users. What can users expect from this?",Cloud Computing,Users can access data more quickly.   ,Data transfers are more prone to security breaches. ,Data transfers are more prone to errors.,Users can automatically scale up their computing power.  ,
"Sam uses a mobile device that’s connected to the cloud to access his email, contacts, and data while he travels and works from different locations. What do computer engineers call this characteristic of cloud computing? ",Cloud Computing,Availability,Elasticity,Scalability,Resilience,
Which of the following statements explains how cloud computing evolved?,Cloud Computing,"Cloud computing evolved from server farms, where many computers were networked to share tasks. ",Cloud computing evolved from desktop computers on a local network that shared data. ,Cloud computing evolved from virtual machine software used primarily in business scenarios.,Cloud computing evolved from systems that used wireless connections to transfer data.  ,
Your manager assigns you to an international team to put together a presentation on a risk assessment for the business. Using the cloud makes it possible for your team to collaborate on the presentation in real time. What user benefit of the cloud enables you to easily collaborate with others? ,Cloud Computing,Flexibility,Security,Reliability,Cost savings,
Most cloud systems use virtual machines (VMs). What is a virtual machine? ,Cloud Computing,"
It’s a software-based computer that runs on a physical computer. ","It’s a high-powered, intelligent networking hardware that runs software. ",It’s a device that manages and monitors cloud infrastructure and services.,It’s a device that interacts with service software.,
"Which of the following technologies includes advances in cellular and wireless technology that will dramatically increase connectivity to the cloud, making using the cloud more seamless? ",Cloud Computing,"5G, Wi-Fi 6, and beyond ","
Quantum computing",Blockchain,Artificial Intelligence,
Which of the following statements describes the basics of computer networking? ,Cloud Computing,"
It’s a group of computers interconnected through infrastructure and rules that share data with each other. ",It’s the physical transfer of data from one computer to another using a tool like a USB drive.,It’s a system that manages cloud computers ensuring that users can use it. ,It’s a system that separates server features into distinct functions. ,
"Fill in the blank. Using __________ as a cloud service, companies around the world can provide software to employees to write reports, design presentations, and create spreadsheets with data. ",Cloud Computing,apps,cloud storage,performance,single sign-on,
"The storage, bandwidth, and processing power of the cloud makes many important innovations possible. Which of the following innovations does using the cloud enable?  ",Cloud Computing,Dynamic mapping technology,Smart appliances,Touch screen devices,Digital photos,
True or false? Cybersecurity experts consider hackers bypassing security measures a malicious activity. ,Cyber Security,FALSE,TRUE,,, 
"You download a game to your computer. But when you open the file, the game doesn’t start. Worse, your computer starts behaving like someone else is controlling it. For example, the cursor moves by itself and clicks items on the screen. What type of malware might be causing these issues? ",Cyber Security,Trojan,Ransomware,Virus,Worm, 
A local banking organization institutes two-factor authentication for users when logging into their accounts. Which of the GAPP 10 best practices for organizational privacy is being applied? ,Cyber Security,Security,Monitoring and enforcement,Choice and consent,Quality, 
A doctor’s office has patients sign a form that includes a notice indicating the processes the office uses to secure patient records. Which of the GAPP 10 best practices for organizational privacy is being applied?  ,Cyber Security,Notice,Monitoring and enforcement,Disclosure to third parties,Security, 
"Byteware Solutions is a small tech startup that recently experienced a data breach. After resolving the incident, the company’s cybersecurity expert runs vulnerability scans to check for any remaining vulnerabilities. But for extra assurance, the company hires Mateus, an outside cybersecurity consultant. Mateus uses real hacking techniques to test system and network security. He discovers several vulnerabilities that the vulnerability scans missed and reports his findings. Which cybersecurity role does Mateus have in this scenario? ",Cyber Security,Penetration tester,Network security architect,Malware analyst,Digital forensics investigator, 
 Imagine you’re using the free open wifi network at a coffee shop. Which cybersecurity tool would prevent a man-in-the-middle attacker on this network from intercepting an email that you send?  ,Cyber Security,VPN,Packet sniffer,Firewall,Endpoint protection, 
How do antimalware programs identify malware?    ,Cyber Security,Malware signatures,Authentication codes,Rainbow tables,Packet sniffers, 
What does a hijacker do?   ,Cyber Security,Modify browser settings without user authorisation ,Collect and report information about the user ,Overwrite files or delete corrupt data ,Restrict user access to the system or its data , 
"Imagine you download a game to your computer. But when you open the file, the game doesn’t start. Worse, your computer starts behaving like someone else is controlling it. For example, the cursor moves by itself and clicks items on screen.  
What type of malware might be causing these issues? ",Cyber Security,Trojan,Virus,Spyware,Rookit, 
"True or false: With Privacy VPN, you can choose the location of the VPN server you will use.   ",Cyber Security,TRUE,FALSE,,, 
Where can you set specific types of protection On or Off in Browser Guard?,Cyber Security,Settings window,Current website pane,Statistics pane,Options window, 
What must you do before you can delete a spyware file that AdwCleaner has detected?   ,Cyber Security,Restart the device,Open the scan's log file,Disable the network adapter,Perform another scan, 
What must you select in the Malwarebytes window to delete a quarantined file?   ,Cyber Security,Detection history,Settings icon,Scanner,Real time protection, 
What must you select in the Malwarebytes window to schedule a new scan? ,Cyber Security,The scan's scheduled time,The scan button,The number of quarantined items,The settings icon, 
A clinic’s computers run on an outdated operating system (OS). The vendor of the OS no longer supports it and doesn’t provide security updates for it. Which question is relevant for determining the value of this risk? ,Cyber Security,What negative impact can this outdated OS have on system and data security?,Would updating the OS disrupt any currently running applications or services? ,What is the total cost associated with updating the operating system? ,What technical support is available for migrating to a more secure OS? , 
"A clinic’s email system uses single-factor authentication. Users need only one form of authentication, a password, for access. The current industry standard for authentication is multifactor authentication, which is when a login requires at least two types of credentials. For example, logging into your bank account from a new device might require a password and the answer to a security question.  Which question is relevant for determining the value of this risk? ",Cyber Security,How can single-factor authentication compromise the clinic’s email security? ,How burdensome is providing multiple types of credentials for users? ,How much do users trust the provider of the multifactor authentication service? ,How compatible is multifactor authentication with all company devices? ,
"An organization’s antimalware software isn’t updated regularly. The software isn’t configured to update automatically, and the system administrator, Heidi, updates the software manually on an irregular basis. Which question is relevant for determining the value of this risk? ",Cyber Security,What is the probability of a virus or other malware attacking this system?,How inconvenient is the process of updating the antimalware software? ,How reluctant is Heidi to pay for regularly updating the antimalware software? ,Would other antimalware software provide better technical support? , 
An organization has no regular backup routine for important data files. Which question is relevant for determining the value of this risk? ,Cyber Security,What damages can result from losing patients' data?,How time-consuming is the backup process? ,How often should the clinic back up patients’ data? ,Is the backup process efficient enough for the clinic? , 
"A clinic relies on old hardware. Some computers are quite old and don’t support the latest updates or software. Employees use these computers only for basic tasks that don’t require high processing power, and the computers don’t hold sensitive data. Which question is relevant for determining the value of this risk? ",Cyber Security,Are the old computers accessible through the clinic’s network?,Does maintaining these older machines cost more than replacing them? ,How much do users prefer using the old computers because of familiarity? ,Are these computers older on average than those in other clinics? , 
"Cheluchi is a first-year university student considering a career in cybersecurity. She attends a campus job fair and speaks with a cybersecurity analyst, Sven. She asks Sven, “What skills do I need to work in cybersecurity?”  What should Sven say to answer Cheluchi’s question? ",Cyber Security,The cybersecurity field welcomes a wide range of skills ,The cybersecurity field demands a very narrow set of skills ,Only strategic analysis skills are valuable in cybersecurity ,Only IT-related skills are relevant in cybersecurity , 
"John is a risk assessment specialist. Recently, his company’s vulnerability analyst identified a vulnerability in a crucial system that the company relies on for its operations. John needs to assess this risk to determine whether it requires urgent attention. Which equation should John use to calculate the risk value? ",Cyber Security,Consequence x likelihood,Significance x capability,Vulnerability x impact,Motivation x severity, 
One rigorously debated topic in cybersecurity ethics is the concept of active defense. What is the ethical debate surrounding active defense in cybersecurity? ,Cyber Security,Whether retaliation against cybercriminals is justifiable ,Whether governments should establish cyberwarfare units ,Whether people should trust AI systems used for cybersecurity ,Whether laws and regulations should apply to the cyber realm , 
"Lakshmi’s job pays her $1000 every week. But when she checks her most recent pay stub, she notices that she earned only $900. Her company investigates the issue and finds that Lakshmi’s earnings have been altered without authorization. Which objective of the CIA triad best describes the company’s need to protect payroll data from unauthorized modification? ",Cyber Security,Integrity,Confidentiality,Availability,, 
Rafael is a cybersecurity consultant. His client is a new startup company. He recommends that they set up multiple technical controls to protect systems and sensitive data. Which of the following controls relates to the technology element of cybersecurity? ,Cyber Security,Encryption on all hard disk drives,Guidelines for reporting suspicious emails,Surveys on company security policies,Awareness training on cybersecurity, 
"Stephen was laid off last month from his executive-level position at an industrial chemical company. He worked in the research and development (R&D) department. On his last day of work, Stephen downloaded his latest project’s information to his personal USB flash drive. He is bitter about losing his job and considering selling the drive to another company’s R&D department. Which threat actor group does Stephen represent? ",Cyber Security,Malicious insider,Hacktivist,Criminal gang,Nation state hacker, 
"She-Ra Cat is a pseudonym for a hacker who was a member of a collective European group in 2019. The group expressed solidarity with a foreign country during economic unrest, stating that the government “refused to listen to its people”. The group launched cyberattacks against the government’s websites. Its expressed purpose was to spread the word about the government’s failure to comply with the people’s wishes. Which threat actor group does She-Ra Cat represent? ",Cyber Security,Hacktivist,Criminal gang,National state hacker,Malicious insider, 
Monica da Silva works at an aeronautics company and has access to valuable proprietary data on a new jet fighter design. She notices that her laptop has been unresponsive since she went on a business trip to a foreign country. She remembers being asked to hand the device over at an airport and thinks that the problems started then. Which threat actor group does this scenario represent? ,Cyber Security,Nation state hacker,Hacktivist,Criminal gang,Malicious insider, 
"Your company’s website experiences a sudden influx of traffic. At this time of day, the site usually receives a dozen or so visits. Instead, the site is receiving hundreds of connection requests. This traffic is causing the website to load very slowly if it loads at all. Which type of cyberattack might be occurring? ",Cyber Security,Denial-of-service (DoS) attack,Structured query language (SQL) injection,Man-in-the-middle (MitM) attack,Spear phishing, 
"Rinaldo receives an email that seems to be from a company that he’s done business with many times. The email informs him that his invoice is ready and that he should click the attached file to view it. But the file is malware in disguise, and by clicking it, Rinaldo installs the malware on his computer. Which type of cyberattack does this scenario represent? ",Cyber Security,Phishing,Man-in-the-middle (MitM) attack,Domain Name System (DNS) attack,Structured query language (SQL) injection, 
"ByteWave Innovations is a small but growing technology company. A competitor obtained copies of the company’s research and development plans. Cordelia, the head of the company’s cybersecurity division, suspects corporate espionage. The leaked information contained details that an outsider can obtain only by monitoring the keystrokes of certain employees. Which type of cyberattack did the attacker most likely use to collect this information? ",Cyber Security,Malware ,Structured query language (SQL) injection,Domain Name System (DNS) attack,Denial of Service (DoS) attack, 
"Imagine that you’re helping your company develop new cybersecurity policies and procedures. In a meeting, you summarize famous cybersecurity case studies to demonstrate the need for various types of policies. One case study you summarize is the 2022 Cash App breach examined in this course. What lesson should you highlight from this breach? ",Cyber Security,The need for strict access control policies for terminated employees,The need to update system and network software regularly ,The need to limit the capabilities of third parties in supply chains ,The need to resist paying ransoms to unlock data in ransomware cases , 
Imagine that ransomware infects your company’s servers. What would the attacker likely demand for the restoration of your files? ,Cyber Security,A specified amount of money as ransom,A public apology for the CEO’s alleged misdeeds ,Unrestricted access to the company’s databases ,Physical assets that belong to the company , 
"A friendly stranger in a work uniform is trying to get into your workplace building. They say that someone at the head office sent them, but they forgot their pass. What should you do? ",Cyber Security,Ask them to wait outside while a security guard verifies their story,Ignore them and continue doing whatever you were doing before ,Let them in because their uniform looks legitimate and they’re in a hurry ,Refuse entry and call local police to have them handle the situation ,
"Imagine that you’re a cybersecurity consultant hired by a local government organization. Script kiddies have targeted the organization recently, and the organization wants to safeguard itself for future attacks from this group. What should you recommend that the organization do to protect itself from script kiddies? ",Cyber Security,Ensure that patching schedule is effective and that perimeter defenses are updated,Verify that defenses can cope with an extended denial-of-service (DoS) attack,Assemble a fully trained workforce with protections around critical assets and backups,Monitor staff carefully and establish an effective and positive organisational culture ,
Imagine that you’re using Zenmap to scan a host. What information about the host do you need to perform your scan? ,Cyber Security,Web address,Operating system,Server software,Port number,
"Augustyna is the head of her company’s IT department, and she’s helping set up her company’s Human Resources (HR) database. To protect the data, she intends to apply the principle of least privilege. Which of the following actions should Augustyna take to apply the principle of least privilege?",Cyber Security,Grant employees read and write access only to data that they need it for.,Grant all employees read and write access to all company data.,Grant only the HR department read access to all company data.,Grant managers read access only to the data for the job roles that they manage.,
"Roger is the systems administrator at his organization. He identifies a potential vulnerability in one of the organization’s key software systems. He contacts the software vendor, which informs him that it no longer supports that software.
What should Roger do in this situation?",Cyber Security,Implement compensating controls.,Disregard the potential vulnerability.,Grant users full access to the software.,"
Shut down the system completely.",
"Andreas wants to email highly sensitive documents to Nivi, a journalist. To ensure the confidentiality of his email, Andreas and Nivi agree to use asymmetric encryption.
What is the first step that Andreas should take?",Cyber Security,Andreas should encrypt his email by using Nivi’s public key.,"
Andreas should encrypt his email by using his own private key.",Andreas should encrypt his email by using his own public key.,Andreas should encrypt his email by using Nivi’s private key.,
"Your organization has just suffered a data breach. Your supervisor is concerned about the potential cost of the breach and asks you to list the biggest contributors to a breach’s cost.
What should you list as the most significant contributor to the cost of a data breach?",Cyber Security,Detection and escalation,Loss of business,Regulatory fines,Post-breach response,
"Armand is a cybersecurity consultant hired to help a company reduce its operational risk to an acceptable level. He assesses the company’s security strategy and recommends that the company use the defense in depth strategy.
Which of the following recommendations might Armand make to implement defense in depth?",Cyber Security,"
Use firewalls, malware scanners, and encryption to protect confidential data.",Train an artificial intelligence (AI) system to recognize and counter cyberattacks.,Implement compensating controls that reduce the risk of known vulnerabilities.,Grant users the fewest permissions needed to complete their daily tasks.,
"Mariana is a cybersecurity analyst in her organization’s security operations center (SOC). She’s become frustrated by the number of false security alerts that her network monitoring tool issues. She wants to better understand the cause of false positives.
Which of the following events can cause a false positive?",Cyber Security,A user making multiple unsuccessful login attempts,"
A network printer failing to sync to the correct local time",A laptop experiencing high CPU usage during a video call,A computer processor producing system glitches,
"Imagine that you’re a cybersecurity professional at a large financial company. To save money, your company’s leadership wants to reduce its investment in various resources, including threat intelligence. You have an opportunity to speak with leadership to explain why threat intelligence is a valuable part of your company’s cyberdefense.
What is one benefit of threat intelligence that you should mention?",Cyber Security,Threat intelligence aids detection by providing indicators of compromise.,Threat intelligence helps reduce litigation costs after a security breach occurs.,Threat intelligence ensures that organizations can prevent all cyberattacks.,Threat intelligence is a legal requirement in almost every industry.,
"Olimpia is a cybersecurity analyst at a medium-sized healthcare facility. She’s interested in using artificial intelligence (AI) to enhance her organization’s attack detection and defense. To bring AI to her workplace, first, she must discuss the technology’s benefits with her supervisor and explain how she would use it.
What is one way that Olimpia can use an AI system to improve attack detection at her organization?",Cyber Security,Train the AI system to distinguish between normal and unusual behavior.,Instruct the AI system to create a demilitarized zone in your network.,Program the AI system to simulate false alarms that occur during a specific time.,Rely on the AI system in place of your security operations center team.,
"A retail company hosts its own website and handles a significant volume of email traffic. The company is trying to protect internal sensitive data.
What setup would continue to provide website and email access without compromising the security of their internal network?",Cyber Security,Host their email server and public web server on a DMZ.,Redirect all email traffic to an external server.,"Place all servers on the internal, private network.",Keep all servers as they are without any firewall protection.,
"You are the security lead in a multinational organization. One morning, you notice an unusual amount of data traffic from a server to an unknown IP address.
What is the first action that you should take?",Cyber Security,Initiate the incident response protocol.,"Ignore the anomaly, which might be a glitch.",Wait for more traffic to confirm a breach.,Shut down all systems as soon as possible.,
Which of the following statements is correct about data science? ,Data,Data science is a multidisciplinary approach to extract insights from large volumes of data ,Data science inserts insights into small volumes of data to validate business processes ,Data science is one of the three branches of data visualisation to conclude actions from small volumes of data,Data science is one of the three branches of the scientific method,
Which of the following statements is correct about data anlytics and data science? ,Data,"They both work with data and share the same goal, which is to translate data analysis into business intelligence",They both design and create new processes for data modelling,"They both use algorithms, predictive analytics, and statistical analysis",They both use the same tatics and strategies when working with data,
Fill in the blank. An important characteristic of a data scientist is to be curious and begin by asking questions that start with _______. ,Data,why,how,when,where,
What type of data is on a driver’s license that records a person's eye color and hair color?,Data,Qualitative data,Quantitative data,,,
"Fill in the blank. Text in a book, audio files, and social media posts are examples of _______________ data.",Data,unstructured,database,complex,structured,
"While reviewing a spreadsheet with customer information, you see that one of the columns contains data for the marital status of the customers. What type of data is this?",Data,Nominal,Ordinal,Continuous,Discrete,
"Fill in the blank. The __________ of big data refers to the ability to obtain monetary, medical, social, or personal benefits from the data.",Data,Value,Velocity,Veracity,Volume,
What is the speed at which new data is generated and moves around?,Data,Velocity,Value,Volume,Veracity,
"Fill in the blank. With big data, the __________ is the quality and trustworthiness of the data.",Data,Veracity,Volume,Velocity,Value,
Which type of analytics drills down the trends and patterns to identify the causes of problems?,Data,Diagnostic analytics,Descriptive analytics,Prescriptive analytics,Predictive analytics,
Which type of analytics makes forecasts about the future?,Data,Predictive analytics,Descriptive analytics,Prescriptive analytics,Diagnostic analytics,
Which type of analytics recommends actions to take to eliminate a future problem or take advantage of a promising trend?,Data,Prescriptive analytics,Descriptive analytics,Diagnostic analytics,Predictive analytics,
A company uses data analytics to get a “snapshot” of its business and to identify issues. The company’s data sources are past and present revenue reports and stock prices. Which type of analytics uses this type of data?,Data,Descriptive analytics,Prescriptive analytics,Diagnostic analytics,Predictive analytics,
Which of the following statements about data visualizations is correct?,Data,"The goal is to have a visual that is effective, attractive, and impactive. ",Data visualizations turn narratives into numbers.,Data analysts typically use one of four types of visualizations.,The audience should be confused when they first see a visualization.,
"Which type of visualization is best-suited for ranking a large number of categories, showing correlation, and using for before-after analysis?",Data,Bar chart,Line chart,Pie chart,Scatter plot chart,
The data analysts at a large grocery chain are reviewing data about customer buying to observe relationships and determine insights about the business. What step of the data analysis process are they performing?,Data,"
Analyse",Collect,Visualise,Clean,
A social media company’s website contains videos posted by users and comments made by viewers. What kind of data is this?,Data,Unstructured data,Qualitative data,Structured data,Nominal data,
"A large retail company has collected a huge amount of data, such as customer purchases, sales, financial reports, and payroll, in its computer systems. This data is located in databases. What is the purpose of a database?",Data,"
To store structured data to make it easier to analyse","
To organise unstructured data into a standard format","
To collect all types of data in tables and make it meaningful",To duplicate data to ensure a backup can be saved,
"During analysis, data analysts create visualizations like charts, graphs, and maps to explore and interpret data to identify patterns or trends. Which of the following is another reason data analysts create data visualizations?",Data,"
Communicate results and help people understand the insights to make decisions",Publish data in a presentation template,Increase the complexity and significance of the presentation,"Organize data in a usable format, such as a spreadsheet, for people to easily access",
You're a data analyst for a company and have gathered a large data set. Your next step is to “wrangle” the data to make sure it doesn’t have missing or inaccurate values. In what step of the data analysis process is data “wrangled?”,Data,"
Clean",Visualise,Collect,Analyse,
BigTech deployed a new mobile app to its customers and as a result has generated much more data about customers than before. What characteristic of big data does this scenario describe?,Data,"
Volume",Velocity,Value,Variety,
"A credit card company database has the names of card holders, dates card holders make purchases, and the type of payment method used. What kind of data is this?",Data,"
Structured data","
Qualitative data","
Unstructured data",Ordinal data,
"You are reviewing a spreadsheet containing information about the people who will be attending a conference. You notice that one of the columns contains the city in which each attendee lives. What type of data is this?

",Data,Nominal,Continuous,"
Discrete",Ordinal,
You need to display the number of customer service calls your team answered over the past month to determine trends and the busiest times. Which chart is best for this type of visualization?,Data,"
Line chart","
Scatter plot chart","Map

",Pie chart,
"Which of the following statements is correct about CRISP-DM, KDD and SEMMA?",Data,"CRISP-DM, KDD, and SEMMA use data mining methods that are best suited for structured data.

","CRISP-DM, KDD, and SEMMA are dependent on a company’s technologies and tools.","CRISP-DM, KDD, and SEMMA use data deployment methods that are best suited for unstructured data.","CRISP-DM, KDD, and SEMMA are industry-recognized methodologies that offer a set of techniques to follow in sequence once.",
"Which of the following is a common characteristic that you can conclude across the CRISP-DM, KDD and SEMMA data science methodologies?",Data,They can all be iterative ,The can all focus on unstructured data ,They can all focus on project requirements from a business perspective,They can all integrate with machine learning ,
Fill in the blank. The first phase of the __________ methodology is to understand the project objective from a business perspective and define the data problem to solve.,Data,"CRISP-DM

",SEMMA,KDD,,
"In which step of the data science methodology would you create a chart to view, conclude, and share insights about the data?",Data,Data visualisation and presentation ,Data representation and transformation ,Business understanding,Data exploration and preparation ,
"A data science team participates in a design thinking workshop. The purpose of the workshop is to define the business problem and objectives of their project.
In which step of the data science project would the team have a design thinking workshop?",Data,Business understanding,Data representation and transformation ,Data visualisation and presentation,Data exploration and preparation ,
Jasmeen is a data scientist who is in the middle of a project exploring conservation data from zoos and aquariums for penguins. Jasmine is predicting the future population trends of a specific species of penguin. She is structuring and organizing the data from many sources so it’s in the best format possible to support an efficient machine learning model. In which step of the data science methodology is Jasmeen working? ,Data,Data representation and transformation ,Train data models ,Data exploration and preparation ,Data visualisation and presentation ,
"Which job role collects, cleans, and analyzes large amounts of data to identify trends and find patterns to communicate in visualizations and presentations?",Data,Data analyst ,Data engineer,Data scientist,Data visualiser ,
"The data analyst for an insurance company has performed diagnostic analytics on data and discovered some unexpected patterns in insurance claims. Next, the data analyst wants to drill down and find out the reason for these unexpected patterns. What kind of analytics will the data analyst use to answer the question, “Why is this happening?”",Data ,Diagnostic analytics,"
Prescriptive analytics",Descriptive analytics,Predictive analytics,
A national weather service uses data analytics to analyze weather in one part of the country. The weather service uses the results to determine future weather conditions in other parts of the country. What type of analytics is the national weather service using?,Data ,"
Predictive analytics",Diagnostic analytics,Descriptive analytics,Presciptive analytics,
You are examining data in a case study. The case study data is the daily height and weight of newborn babies that has been collected during their stay in a hospital before going home. What type of data is this?,Data ,Continuous,Nominal,"
Ordinal",Discrete,
"You are considering buying a new desk for your home office. It is black, made of steel, and the table height can be adjusted. What kind of information is this?",Data ,"
Qualitative data",Ordinal data,Quantitative data,Discrete data,
MyBank is noticing incorrect formatting and typos in the data it receives from one of its sources. What characteristic of big data does this scenario describe?,Data ,"
Veracity","
Variety",Velocity,Value,
Which of the following statements about the importance of data in our world is NOT correct?,Data ,"
Nonprofit organizations, governments, and academic institutions cannot use data that can help solve challenges faced by the people they serve.","Data is one of the most valuable assets organizations can have, whether it's in business, finance, healthcare, retail, technology, or marketing, and more.","Data insights can help drive the business forward for success by potentially cutting costs, increasing profits, and finding new innovations.",,
"Miguel is a data scientist for a large bank. Miguel’s team is devoted to spotting fraudulent transactions and reacting promptly to save the bank and its customers money. Miguel’s team uses unsupervised learning techniques to find any similarities, differences, patterns, and structure in the financial data to make predictions. In which step in teh data science methodology is Miguel's team working?",Data ,Train data models,Deploy data models ,Data exploration and preparation ,Business understanding ,
"Which job role uses statistics, machine learning, and data models to find patterns and predict outcomes?",Data ,Data scientist,Data engineer,Data analyst, Data visualiser,
